AFF_LOVE_POINT	Punct de dragoste: %d%%
DETAILS_5_15	ªansã drop Yang
DETAILS_5_16	ªansã drop obiecte
DETAILS_5_17	Tare împ. metinelor
DETAILS_5_18	Tare împ. ºefilor
DETAILS_5_19	Tare împ. dungeon
DETAILS_5_20	Rezistenþã vs rase
DETAILS_TOOLTIP_1_0	Tare împotriva semi-oamenilor: Daune mai mari când lupþi împotriva semi-oamenilor.
DETAILS_TOOLTIP_1_1	Puternic împotriva vampirilor: Daune mai mari când lupþi împotriva vampirilor.
DETAILS_TOOLTIP_1_2	Tare împotriva monºtrilor: Daune mai mari când lupþi împotriva monºtrilor.
DETAILS_TOOLTIP_1_3	Tare împotriva animalelor: Daune mai mari când lupþi împotriva animalelor.
DETAILS_TOOLTIP_1_4	Tare împotriva esotericilor: Daune mai mari când lupþi împotriva esotericilor.
DETAILS_TOOLTIP_1_5	Tare împotriva diavolului: Daune mai mari când lupþi împotriva diavolului.
DETAILS_TOOLTIP_1_6	Creºte valoarea atacului.
DETAILS_TOOLTIP_1_7	Creºte apãrarea.
DETAILS_TOOLTIP_1_8	Mãreºte daunele medii pe care le faceþi inamicilor în timpul unui atac.
DETAILS_TOOLTIP_1_9	Rezistenþa medie la pagubã: Reduce daunele suferite în urma unui atac.
DETAILS_TOOLTIP_1_10	Mãreºte daunele provocate de o abilitate.
DETAILS_TOOLTIP_1_11	Rezistenþã la paguba abilitãþii: Reduce daunele suferite în urma unui atac cu o abilitate.
DETAILS_TOOLTIP_1_12	Mãreºte atât atacul fizic, cât ºi cel magicã.
DETAILS_TOOLTIP_1_13	Mãreºte atacul magic.
DETAILS_TOOLTIP_1_14	Creºte ºansa de a provoca o loviturã criticã.
DETAILS_TOOLTIP_1_15	Creºte ºansa de a provoca o loviturã pãtrunzãtoare.
DETAILS_TOOLTIP_1_16	Rezistenþã la lovitura criticã: Reduce daunele provocate de o loviturã criticã.
DETAILS_TOOLTIP_1_17	Rezistenþã la lovitura pãtrunzãtoare: Reduce daunele provocate de o loviturã pãtrunzãtoare.
DETAILS_TOOLTIP_2_0	Reduce daunele în timpul unui atac magic.
DETAILS_TOOLTIP_2_1	Reduce daunele provocate de anumiþi monºtri.
DETAILS_TOOLTIP_2_2	Reduce daunele provocate de anumiþi monºtri.
DETAILS_TOOLTIP_2_3	Rezistenþã la întunecare: Reduce daunele provocate de anumiþi monºtri.
DETAILS_TOOLTIP_2_4	Reduce daunele provocate de anumiþi monºtri.
DETAILS_TOOLTIP_2_5	Reduce daunele provocate de anumiþi monºtri.
DETAILS_TOOLTIP_2_6	Reduce daunele provocate de anumiþi monºtri.
DETAILS_TOOLTIP_3_0	Tare împotriva rãzboinicilor: Daune mai mari când lupþi împotriva rãzboinicilor.
DETAILS_TOOLTIP_3_1	Tare împotriva ninja: Daune mai mari când lupþi împotriva ninja.
DETAILS_TOOLTIP_3_2	Tare împotriva sura: Daune mai mari când lupþi împotriva sura.
DETAILS_TOOLTIP_3_3	Tare împotriva ºamanilor: Daune mai mari când lupþi împotriva ºamanilor.
DETAILS_TOOLTIP_3_4	Tare împotriva lycanilor: Daune mai mari când lupþi împotriva lycanilor.
DETAILS_TOOLTIP_3_5	Apãrare împotriva razboinicilor: Reduce daunele provocate de rãzboinici.
DETAILS_TOOLTIP_3_6	Apãrare împotriva ninja: Reduce daunele provocate de ninja.
DETAILS_TOOLTIP_3_7	Apãrare împotriva sura: Reduce daunele provocate de sura.
DETAILS_TOOLTIP_3_8	Apãrare împotriva ºamanilor: Reduce daunele provocate de ºamani.
DETAILS_TOOLTIP_3_9	Apãrare împotriva lycanilor: Reduce daunele provocate de lycani.
DETAILS_TOOLTIP_4_0	Reduce daunele provocate de o sabie.
DETAILS_TOOLTIP_4_1	Reduce daunele provocate de o sabie cu douã mâini.
DETAILS_TOOLTIP_4_2	Reduce daunele provocate de un pumnal.
DETAILS_TOOLTIP_4_3	Reduce daunele provocate de un clopot.
DETAILS_TOOLTIP_4_4	Reduce daunele provocate de un evantai.
DETAILS_TOOLTIP_4_5	Reduce daunele provocate de o sãgeatã.
DETAILS_TOOLTIP_5_0	Creºte ºansa de a bloca oponentul.
DETAILS_TOOLTIP_5_1	Creºte ºansa de a încetini oponentul.
DETAILS_TOOLTIP_5_2	Creºte ºansa de a otrãvi oponentul.
DETAILS_TOOLTIP_5_3	Creºte daunele provocate de otravã.
DETAILS_TOOLTIP_5_4	Creºte ºansa de a efectua un atac sângeros.
DETAILS_TOOLTIP_5_5	Rezistenþa împotriva atacului sângeros: Reduce daunele provocate de un atac sângeros.
DETAILS_TOOLTIP_5_6	Scade PV-ul inamicului când îl ataci.
DETAILS_TOOLTIP_5_7	Scade PM-ul inamicului când îl ataci.
DETAILS_TOOLTIP_5_8	Creºte ºansa de a recupera PV.
DETAILS_TOOLTIP_5_9	Creºte ºansa de a recupera PM.
DETAILS_TOOLTIP_5_10	Blocare atac corporal: Creºte ºansa de a evita un atac corporal.
DETAILS_TOOLTIP_5_11	Reflectare atac corporal: O parte din daunele provocate de oponent se întorc la el.
DETAILS_TOOLTIP_5_12	Refacere PV când omori: Punctele tale de PV cresc când omori un inamic.
DETAILS_TOOLTIP_5_13	Refacere PM când omori: Punctele tale de PM cresc când omori un inamic.
DETAILS_TOOLTIP_5_14	Creºte ºansa de a primi experienþã dublã.
DETAILS_TOOLTIP_5_15	Creºte ºansa de a primi de douã ori cantitatea de Yang.
DETAILS_TOOLTIP_5_16	Creºte ºansa de a primi de douã ori mai multe iteme.
DETAILS_TOOLTIP_5_17	Tare împotriva metinelor: Daune mai mari când lupti împotriva metinelor.
DETAILS_TOOLTIP_5_18	Tare împotriva ºefilor: Daune mai mari când lupti împotriva ºefilor.
TARGET_INFO_DAMAGE	Atac: %s - %s
TARGET_INFO_DEFENSE	Apãrare: %s
TARGET_INFO_EXP	Experienþã: %s
TARGET_INFO_MAINRACE	Rasã: %s
TARGET_INFO_MAX_HP	Max. HP: %s
TARGET_INFO_NO_ITEM_TEXT	Nu dropeazã obiecte.
TARGET_INFO_NO_RACE	Nimic
TARGET_INFO_RACE_METIN	Piatrã
TARGET_INFO_RACE_ANIMAL	Animal
TARGET_INFO_RACE_DARK	Întuneric
TARGET_INFO_RACE_DEVIL	Diavol
TARGET_INFO_RACE_EARTH	Pãmânt
TARGET_INFO_RACE_ELEC	Fulger 
TARGET_INFO_RACE_FIRE	Foc
TARGET_INFO_RACE_HUMAN	Semi-om
TARGET_INFO_RACE_ICE	Gheaþã
TARGET_INFO_RACE_MILGYO	Esoteric 
TARGET_INFO_RACE_ORC	Orc
TARGET_INFO_RACE_UNDEAD	Vampir
TARGET_INFO_RACE_WIND	Vânt
TARGET_INFO_STONE_NAME	Piatrã fantomã
TARGET_INFO_SUBRACE	Subspecie: %s
TARGET_INFO_RACE_SEFI	ªefi
TARGET_INFO_RACE_METINE	Metine
SASH_REFINE_COST	Preþ absorbþie: %d
SASH_ABSORB_CHANCE	Rata de absorbþie: %d%%
SASH_ABSORB_CHANCE2	Rata de absorbþie: %d%% ~ %d%%
SASH_DO_YOU_CLEAN	Doriþi sã eliminaþi toate bonusurile disponibile?
SASH_FAILURE_CLEAN	Nu pot fi ºterse bonusuri.
SASH_DEL_SERVEITEM	Eºarfa 2 va fi distrusã dacã combinaþia eºueazã.
SASH_DEL_ABSORDITEM	Absoarbe elementul, distrugându-l în acest proces?
SWITCHBOT_TITLE	Switchbot
SWITCHBOT_START	Porneºte
SWITCHBOT_STOP	Opreºte
SWITCHBOT_EMPTY_ATTR	- Gol -
SWITCHBOT_SELECT_ATTR	Selecteazã bonusul
SWITCHBOT_CLEAR_ATTR	Curãþã
SWITCHBOT_CONFIGURATION_TITLE	Setãri salvate
SWITCHBOT_SAVE_BUTTON	Configuraþii
SWITCHBOT_SAVE	Salveazã
SWITCHBOT_LOAD_CONFIGURATION	Încãrcare
SWITCHBOT_CLEAR_CONFIGURATION	Curãþã
TOOLTIP_PASSIVE_MELEE_MAGIC_ATTBONUS_PER	Atac cu arma/magic:
TOOLTIP_PASSIVE_ATTBONUS_METIN	Tare împotriva metinelor:
TOOLTIP_PASSIVE_ATTBONUS_DUNGEON	Tare împotriva dungeon:
TOOLTIP_PASSIVE_RESIST_HUMAN	Rezistenþã împotriva semi-oamenilor:
TOOLTIP_PASSIVE_DURATION_ABILITY	Extinde durata abilitãþii:
TOOLTIP_PASSIVE_ATTBONUS_MONSTER	Tare împotriva monºtrilor:
TOOLTIP_APPLY_PASSIVE_SKILL_BOOK_BONUS	ªansa de a învãþã din cãrþi de 2,5 ori mai bunã.
TOOLTIP_APPLY_PASSIVE_SKILL_BOOK_NO_DELAY	Dacã învãþatul nu reuºeºte, ai încã o încercare gratuitã.
EXTRA_TEXT_GAME_OPTION_54	Battle Pass
EXTRA_TEXT_GAME_OPTION_55	Lista Misiunilor
EXTRA_TEXT_GAME_OPTION_56	Informaþii Misiune
EXTRA_TEXT_GAME_OPTION_57	Clasament
EXTRA_TEXT_GAME_OPTION_58	Colecteazã recompensã
EXTRA_TEXT_GAME_OPTION_59	Listã de recompense
EXTRA_TEXT_GAME_OPTION_60	Timp rãmas: %s
EXTRA_TEXT_GAME_OPTION_61	Status: |cff82ff7d|H|hComplet|h|r
EXTRA_TEXT_GAME_OPTION_62	Status: |cfffeff7d|H|hÎn progres|h|r
CANT_CLOSE_WINDOW	Nu poþi închide aceastã fereastrã.
CHOOSE_SKILLS_SURE	Eºti sigur cã vrei sã alegi abilitatea: %s ?
CHOOSE_SKILLS	Alegere Abilitãþi
SKILL_NINJA_DAGGER	Ninja Lamã sunt capabili în orice moment sã\nloveascã tãcut ºi pe neaºteptate.
SKILL_NINJA_BOW	Arcaºul este specializat în atacul\nde la distanþã folosind un arc.
SKILL_WARRIOR_CORPORAL	Rãzboinicul Corp este dedicat unui stil\nofensiv de joc. Rãzboinicul Corp se\ndescurcã cu Sãbii în lupta de jos.
SKILL_WARRIOR_MENTAL	Rãzboinicul Mental este un tank cu o apãrare\ngreu de doborât. Rãzboinicul Mental este\nfoarte bun cu Arme pentru doua mâini.
SKILL_SURA_AM	Pentru cei care doresc un caracter PvM\n( jucãtor vs. monºtrii ), Sura Arme Magice\neste caracterul ideal.
SKILL_SURA_BM	Daca doreºti un caracter PvP\n( jucãtor vs. jucãtor ) alege un\nSura Magie Neagrã.
SKILL_SHAMAN_DRAGON	ªamanul Zmeu este cel mai cãutat pentru\ncapacitatea lui de a da buff aliaþilor ºi\na le creºte astfel ºansa de loviturã criticã.
SKILL_SHAMAN_HEALER	ªamanul Vindecare sau Leac este caracterizat\nde cea mai importantã competenþã, de\nla care îsi trage ºi numele: Leac.
SKILL_LYCAN_INSTINCT	Lycanii sunt creaturi formidabile\nlupi infectaþi cu un virus necruþãtor ce îi face\nsã-ºi piardã forma realã având parte de mutaþii genetice.
EVENT_LETTER_TITLE	Eveniment Colectarea Literelor
EVENT_LETTER_TEXT	Colecþioneazã literele necesare pentru a forma cuvântul |cff84A5B9DEIMOS|r. Acestea se pot obþine de la |cffFFD550ªefi/Pietre Metin/Monºtrii|r. Apãsaþi butonul OK când aveþi literele necesare în inventar.
SHAMAN_HEALER	Leac
SHAMAN_DRAGON	Dragon
LEFT_EXP_SUPPORT	Experienþã rãmasã: 
REAL_EXP_SUPPORT	Experienþã realã: 
SKILL_RED_POSSESSION	Sufletul lupului roºu
SKILL_BLUE_POSSESSION	Sufletul lupului indigo
TOOLTIP_APPLY_CRITICAL_PCT_BLEND	ªansa de loviturã criticã +%d
TOOLTIP_APPLY_PENETRATE_PCT_BLEND	ªansã de loviturã pãtrunzãtoare +%d
TOOLTIP_APPLY_ATTBONUS_BOSS_BLEND	Tare împotriva ºefilor +%d
TOOLTIP_APPLY_ATTBONUS_METIN_BLEND	Tare împotriva metinelor +%d
TOOLTIP_APPLY_ATTBONUS_DUNGEON_BLEND	Tare în temniþe +%d
TOOLTIP_ATT_GRADE_BLEND	Valoarea atacului +%d
TOOLTIP_RESIST_MAGIC_BLEND	Rezistenþã la magie %d
TOOLTIP_APPLY_ATTBONUS_MONSTER_BLEND	Tare împotriva monºtrilor +%d
SKILL_TREE_TITLE	Arbore Abilitãþi - 
SKILL_TREE_UNLOCKING	Disponibil deblocând bonusul: 
SKILL_TREE_NEED_UNLOCKING	Puncte necesare pentru deblocare: 
STAT_TOOLTIP_ACTION	Acþiuni
STAT_TOOLTIP_ATT	Valoarea Atacului
STAT_TOOLTIP_ATT_SPEED	Vitezã de atac
STAT_TOOLTIP_BASE_LEVEL	Statistici 1
STAT_TOOLTIP_CAST_SPEED	Viteza farmecului
STAT_TOOLTIP_CON	Creºte PV ºi apãrarea
STAT_TOOLTIP_DEF	Apãrare
STAT_TOOLTIP_DEX	Creºte atacul ºi evadarea
STAT_TOOLTIP_DODGE_PER	ªansã evitare atacul cu sãgeþi
STAT_TOOLTIP_EXP	EXP
STAT_TOOLTIP_HP	PV
STAT_TOOLTIP_IMG_CON	VIT: Creºte PV ºi apãrare
STAT_TOOLTIP_IMG_DEX	DEX: Creºte atacul ºi evadarea
STAT_TOOLTIP_IMG_INT	INT: Creºte PM, atac magic ºi apãrare
STAT_TOOLTIP_IMG_STR	STR: Creºte valoarea atacului ºi daunele
STAT_TOOLTIP_INT	Creºte PM, atacul magic ºi apãrarea
STAT_TOOLTIP_LEVEL	Nivel
STAT_TOOLTIP_MAG_ATT	Valoare de atac magic
STAT_TOOLTIP_MAG_DEF	Apãrare magicã
STAT_TOOLTIP_MOVE_SPEED	Vitezã de miºcare
STAT_TOOLTIP_POINT	Puncte
STAT_TOOLTIP_REACTION	Reacþii
STAT_TOOLTIP_SHP	Vei primi o deducere mai micã la PV-ul maxim în Yohara.
STAT_TOOLTIP_SIMMUNE	Vei primi o deducere mai micã la rezistenþã la schimbãrile de status în Yohara.
STAT_TOOLTIP_SMOVE	Vei primi o deducere mai micã la viteza de miºcare în Yohara.
STAT_TOOLTIP_SP	PM
STAT_TOOLTIP_SPECIAL_ACTION	Acþiuni speciale
STAT_TOOLTIP_STAT	Valori
STAT_TOOLTIP_SUPPORT_SKILL	Abilitãþi secundare
STAT_TOOLTIP_TAB_CHARACTER	Caracter
STAT_TOOLTIP_TAB_EMOTICON	Emoþii
STAT_TOOLTIP_TAB_QUEST	Misiuni
STAT_TOOLTIP_TAB_SKILL	Abilitãþi
SELL_PRICE_INFO	Preþ Vânzare - %s
SELL_PRICE_INFO_ALL	Preþ Vânzare - Bucãþi: %s / All: %s
REFINE_CURRENT_PERCENTAGE	ªansa de reuºitã: %d%%
SEARCH_OBJECT_NUMBER	Numãr obiect
SEARCH_OBJECT_OWNER	Deþinãtor
SEARCH_OBJECT_CLEAR	Curãþã
SEARCH_OBJECT_PETS	Însoþitori
SEARCH_OBJECT_SASH	Eºarfã
SEARCH_OBJECT_SASHSKIN	Costum Eºarfã
SEARCH_OBJECT_PET	Animãluþe de companie
SEARCH_OBJECT_MOUNT	Mount
SEARCH_OBJECT_COSTUMEACC	Accesorii costum
SEARCH_OBJECT_COSTUMEWEAP	Costum armã
SEARCH_OBJECT_COSTUME	Costum
SEARCH_OBJECT_HAIR	Frizurã
SEARCH_OBJECT_SHIELD	Scut
SEARCH_OBJECT_NECK	Colier
SEARCH_OBJECT_WRIST	Brãþarã
SEARCH_OBJECT_HEAD	Coif
SEARCH_OBJECT_SHOES	Papuci
SEARCH_OBJECT_EAR	Cercei
SEARCH_OBJECT_ARMOR	Armurã
SEARCH_OBJECT_PENDANT	Talisman
SEARCH_OBJECT_EQUIP	Echipament
SEARCH_OBJECT_UPGRADE	Materiale
SEARCH_OBJECT_FILTER	Filtrare
SEARCH_ASK_BUY	Doreºti sã cumperi acest obiect?
SEARCH_WAIT_TIME	Aºteaptã %d secunde pentru a cãuta din nou.
SEARCH_OBJECT	Obiect
SEARCH_OBJECT	Cãutare în magazine
GAYA_ASK_BUY	Doreºti sã cumperi %s?
BUFF_REMOVE_ASK	Eºti sigur cã doreºti sã înlãturi aceastã abilitate?
DUNGEON_TELEPORT_ASK	Doreºti sã te teleportezi la temniþã?
DUNGEON_TEXT_01	Temniþa Maimuþelor
DUNGEON_TEXT_02	Temniþa Orcului Alb
DUNGEON_TEXT_03	Cuibul Baronesei
DUNGEON_TEXT_04	Turnul Demonilor
DUNGEON_TEXT_05	Catacomba Diavolului
DUNGEON_TEXT_06	Camera Dragonului Albastru
DUNGEON_TEXT_07	Purgatoriul lui Razador
DUNGEON_TEXT_08	Turnul lui Nemere
NEW_PLAYER_ONLINE	Jucãtorul %s este online!
NEW_DEV_ONLINE	Developerul %s este online!
NEW_SA_ONLINE	Administratorul %s este online!
NEW_GM_ONLINE	GM-ul %s este online!
NEW_H_ONLINE	Helperul %s este online!
DELIVER_NEW_BIO	Biolog: Poþi livra un nou obiect!
NEW_NOTIF	Notificare nouã
WHISPER_MESSAGE_WARNING_OPEN	Salutare! Sunt Deimos Helper, cu ce te pot ajuta?
WIKI_OBJECT_BOSSCHEST	Cufere ºefi
WIKI_OBJECT_MOBCHEST	Cufere monºtrii
WIKI_CAT_01	ªefi
WIKI_CAT_02	Pietre Metin
WIKI_CAT_03	Monºtrii
WIKI_CAT_04	Cufere
WIKI_TEXT_01	Conþinut 
WIKI_TEXT_02	Origine
WIKI_TEXT_03	Lista dropului 
WIKI_TEXT_04	Statisticã 
WIKI_TEXT_05	Nivel : 
WIKI_TEXT_06	Experienþã : 
WIKI_TEXT_07	Daune minime : 
WIKI_TEXT_08	Daune maxime : 
WIKI_TEXT_09	Rasa
WIKI_TEXT_10	Costul în obiecte
WIKI_TEXT_11	Costul în yang
WIKI_TEXT_12	Cautã
WIKI_TEXT_13	Categorii
SEARCH_SHOP_WAIT	You need to wait 5 sec between searches.
SEARCH_SHOP_PRICE_MIN	You need to chose a maximum price range.
SEARCH_SHOP_WRONG_NAME	No results found for this item name.
SEARCH_SHOP_ALL	Tot 
SEARCH_SHOP_WARRIOR	Rãzboinic 
SEARCH_SHOP_ASSASSIN	Ninja 
SEARCH_SHOP_SURA	Sura
SEARCH_SHOP_SHAMAN	Shaman
SEARCH_SHOP_ITEM_USE	Utilizabile
SEARCH_SHOP_ITEM_MATERIAL	Materiale
SEARCH_SHOP_ITEM_METIN	Pietre
SEARCH_SHOP_ITEM_RESOURCES	Resurse
SEARCH_SHOP_ITEM_SKILLBOOK	Cãrþi abilitate
SEARCH_SHOP_ITEM_GIFTBOX	Cufere
SEARCH_SHOP_ITEM_BLEND	Rouã
SEARCH_SHOP_ITEM_DS	Alchimie
SEARCH_SHOP_ITEM_RING	Inele
SEARCH_SHOP_ITEM_BELT	Curea
SEARCH_SHOP_ITEM_QUEST	Altele
SEARCH_SHOP_ITEM_WEAPON	Arme
SEARCH_SHOP_ITEM_WEAPON_SWORD	Sabie
SEARCH_SHOP_ITEM_WEAPON_DAGGER	Pumnal
SEARCH_SHOP_ITEM_WEAPON_BOW	Arc
SEARCH_SHOP_ITEM_WEAPON_TWO_HANDED	Sabie douã-mâini
SEARCH_SHOP_ITEM_WEAPON_BELL	Clopot
SEARCH_SHOP_ITEM_WEAPON_FAN	Evantai
SEARCH_SHOP_ITEM_COSTUME	Costume
SEARCH_SHOP_ITEM_USE_POTION	Poþiuni
SEARCH_SHOP_ITEM_USE_TUNING	Pergamente
SEARCH_SHOP_ITEM_USE_ABILITY_UP	Rouã
SEARCH_SHOP_ITEM_USE_POTION_NODELAY	HP Items
SEARCH_SHOP_ITEM_USE_CLEAR	Elixire
SEARCH_SHOP_ITEM_USE_DETACHMENT	Stone Handbook
SEARCH_SHOP_ITEM_USE_SPECIAL	Altele
SEARCH_SHOP_ITEM_METIN_NORMAL	Pietre
SEARCH_SHOP_ITEM_DS_1	Diamant
SEARCH_SHOP_ITEM_DS_2	Rubin
SEARCH_SHOP_ITEM_DS_3	Jad
SEARCH_SHOP_ITEM_DS_4	Ametist
SEARCH_SHOP_ITEM_DS_5	Granat
SEARCH_SHOP_ITEM_DS_6	Onyx
NOT_HAVE_COOLDOWN	Nu mai ai timp de aºteptare la biolog.
DONT_HAVE_NECESARY_ITEM	Nu deþii obiectul necesar.
BIO_CHANCE	ªansã:
BIO_REINFORCE	Întãriri:
CHAR_WAIT	Aºteaptã %.1f înainte de a folosi comanda.
REWARD_WINDOW_TITLE	Recompense
NPC_SEARCH	Vânãtoarea de NPC-uri
NPC_SEARCH_TEXT	Are loc pe urmãtoarele mape:
MOUNT_SOHAN_MAP_NAME	Muntele Sohan
MOUNT_DOYUMHWAN_MAP_NAME	Þara de foc
MOUNT_YONGBI_MAP_NAME	Deºertul Yongbi
TOURNAMENT_ALL_CHARACTER	Toate caracterele
NORMAL_EVENT_TIME	De la: %s pâna la: %s
PVP_EVENT_TIME	Începe la: %s
NONE_AFFECT	None Affect
EVENT_COLORFULL_TEXT	|cFF84A5B9%s|h|r
ALL_KINGDOMS	|cFF97AE99Toate regatele:|h|r
RED_KINGDOM	|cFFFBB497Regatul Roºu:|h|r
BLUE_KINGDOM	|cFF8CADDBRegatul Albastru:|h|r
YELLOW_KINGDOM	|cFFFDE696Regatul Galben:|h|r
EVENT_TOOLTIP_TITLE	Evenimente %s:
EVENT_TOOLTIP_DOESNT_HAVE_EVENT	Fãrã evenimente în aceastã zi.
DOUBLE_BOSS_LOOT_EVENT	Drop ªefi Dublu
DOUBLE_METIN_LOOT_EVENT	Drop Pietre Dublu
LETTER_EVENT_TEXT	Eveniment de litere
DUNGEON_COOLDOWN_EVENT	Timp temniþe scãzut
HEXAGONAL_EVENT	Eveniment cufere hexagonale
DARK_CULT_EVENT	Eveniment cult întunecat
MOONLIGHT_EVENT	Cufere clar de lunã
TOURNAMENT_EVENT	PvP Tournament(%s - Lv %d - Lv %d)
WHELL_OF_FORTUNE_EVENT	Roata norocului
HALLOWEEN_EVENT	Halloween Event
EVENT_MANAGER_WINDOW_TITLE	Event Calendar: %s - %d
ALL_CHANNEL	Toate canalele
ONLY_CHANNEL	Doar canalul %d
BONUS_EVENT	Event bonus:
BONUS_END_IN	Se terminã în %s
BONUS_START_IN	Începe în %s
BONUS_NEXT_EVENT	|Eicon/emoji/m_right.tga|e - Urmãtorul event
ITEM_DROP_EVENT	Item Drop Event: %d%%
YANG_DROP_EVENT	Yang Drop Event: %d%%
EXP_EVENT	Exp Drop Event: %d%%
EVENT_MONTH_1	Ianuarie
EVENT_MONTH_2	Februarie
EVENT_MONTH_3	Martie
EVENT_MONTH_4	Aprilie
EVENT_MONTH_5	Mai
EVENT_MONTH_6	Iunie
EVENT_MONTH_7	Iulie
EVENT_MONTH_8	August
EVENT_MONTH_9	Septembrie
EVENT_MONTH_10	Octombrie
EVENT_MONTH_11	Noiembrie
EVENT_MONTH_12	Decembrie
CUBE_HAIRSTYLES	Frizuri
CUBE_COSTUMES	Costume
CUBE_WEAPON_COSTUMES	Costume armã
CUBE_MOUNT_CAT	Animale de cãlãrit
PICK_ITEM_TITLE	Numãr obiect
MULTIPLE_BUY_TEXT	Cumpãrare multiplã: |Eicon/emoji/ctrl.tga|e + |Eicon/emoji/m_right.tga|e
FAST_MOVE	|Eicon/emoji/m_right.tga|e - Mutare rapidã
FAST_MOVE_V2	|Eicon/emoji/ctrl.tga|e + |Eicon/emoji/m_right.tga|e - Mutare rapidã
PET_SYS_YOUNG	Tânãr
PET_SYS_BRAVE	Curajos
PET_SYS_WILD	Sãlbatic
PET_SYS_HEROIC	Eroic
PET_SYS_ATT3	Tare împ. monºtrilor: 
STACK_ATTRIBUTE_1	%s monºtrii uciºi
STACK_ATTRIBUTE_2	%s Pietre Metin distruse
STACK_ATTRIBUTE_3	%s ºefi uciºi
STACK_ATTRIBUTE_4	Jucãtori uciºi
STACK_ATTRIBUTE_5	Daune monºtrii
STACK_ATTRIBUTE_6	Daune jucãtori
STACK_ATTRIBUTE_7	%s folosite
STACK_ATTRIBUTE_8	%s vândute
STACK_ATTRIBUTE_9	%s craftate 
STACK_ATTRIBUTE_10	%s distruse
STACK_ATTRIBUTE_11	%s prinºi
STACK_ATTRIBUTE_12	%s fripþi
BATTLEPASS_TEXT_1	Nume misiune
BATTLEPASS_TEXT_2	Numãr
BATTLEPASS_TEXT_3	Nivel limitã
BATTLEPASS_TEXT_4	Rãmas
BATTLEPASS_TEXT_5	Status
BATTLEPASS_TEXT_6	Descriere misiune
BATTLEPASS_TEXT_7	Recompensã misiune
BATTLEPASS_TEXT_8	|cffFF9D9DÎn progres
BATTLEPASS_TEXT_9	|cff82FF7DTerminat
BATTLEPASS_TEXT_10	Informaþii
BATTLEPASS_TEXT_11	Recompensã finalã
BATTLEPASS_TEXT_12	Revendicã recompensa
BATTLEPASS_TEXT_13	Pentru a activa misiunile din Battle Pass aveþi nevoie de 'Ticket Battle Pass'.
CHATTING_SETTING_ADD	Adaugã filã
CHATTING_SETTING_ADD_MAX	Nu mai poþi adãuga altã filã.
CHATTING_SETTING_CHANGE_TITLE_NAME	Doreºti sã salvezi numele pentru aceastã filã?
CHATTING_SETTING_CHANGE_TITLE_NOT	Numele chatului general nu poate fi schimbat.
CHATTING_SETTING_CLEAR_QUESTION	Resetare?
CHATTING_SETTING_DEL	ªterge câmp
CHATTING_SETTING_LANGUAGE_OFF	Off
CHATTING_SETTING_LANGUAGE_ON	On
CHATTING_SETTING_QUESTION_DESC_1	1. Seteazã un mesaj pentru experienþa primitã de la monºtrii.
CHATTING_SETTING_QUESTION_DESC_2	2. Seteazã un mesaj pentru dropul sau yang-ul primit.
CHATTING_SETTING_RETURN	Restaurare
CHATTING_SETTING_SETTING	Setãri
PREMIUM_TEXT_2	Premium Status: |cffFF9D9DInactiv
PREMIUM_TEXT_3	Schimbã emoticoane
PREMIUM_TEXT_4	Magazin la distanþã
PREMIUM_TEXT_5	Premium Status: Facilitãþi
PREMIUM_TEXT_6	Acces emoticoane speciale
PREMIUM_TEXT_7	Acces acþiuni speciale
PREMIUM_TEXT_8	Un bonus la alegere
PREMIUM_TEXT_9	Decoraþii magazin privat
PREMIUM_TEXT_10	Cãutare în magazine
PREMIUM_TEXT_11	Informaþii temniþe
RANKING_TEXT_1	Nivel jucãtori
RANKING_TEXT_2	Yang jucãtori
RANKING_TEXT_3	Pietre distruse
RANKING_TEXT_4	ªefi uciºi
RANKING_TEXT_5	Monºtrii uciºi
RANKING_TEXT_6	Temniþe completate
RANKING_TEXT_7	Peºti prinºi
RANKING_TEXT_8	Minat
RANKING_TEXT_9	Schimbãri folosite
RANKING_TEXT_10	Cufere deschise
RANKING_TEXT_11	Obiecte îmbunãtãþite
RANKING_TEXT_12	Decese jucatori
PREMIUM_TEXT_13	Acces battlepass luna actualã
PET_TEXT_1	Începe evoluþia!
PET_TEXT_2	Duraþie: %d/%d Ore
PET_TEXT_3	Însoþitor
PET_TEXT_4	Evoluþie
PET_TEXT_5	Reîncarcã timp
PET_TEXT_6	Doreºti sã resetezi abilitatea: %s?
PET_TEXT_7	Abilitatea I
PET_TEXT_8	Acest loc pentru abilitate este liber.
PET_TEXT_9	Acest loc pentru abilitate este indisponibil.
PET_TEXT_10	Tare împ. monºtrilor
PET_TEXT_11	Obiecte evoluþie
PET_TEXT_12	Abilitatea II
PET_TEXT_13	Abilitatea III
CHEST_TEXT_1	|cFFf3e61d[Conþine urmãtoarele obiecte]
CHEST_TEXT_2	1x |Eicon/item/costume/costum_garda_rosu_m.png|e |cFFdd1a1aCostum Gardã Royalã Rubin
CHEST_TEXT_3	1x |Eicon/item/costume/freza_garda_rosie_m.png|e |cFFdd1a1aFrizurã Gardã Royalã Rubin
CHEST_TEXT_4	1x |Eicon/item/costume/garda_regala_sabie.png|e |cFFdd1a1aArmã Gardã Royalã Rubin
